Time Series Search Export,Search term,Search filters,,Last update of Locational banking statistics data,Downloaded at,Source,Source URL,Download URL,About Locational banking statistics
,,,,2026-01-29,2026-02-05 22:51 CET,BIS,"https://data.bis.org/topics/LBS/BIS,WS_LBS_D_PUB,1.0/Q.S.C.G.USD.A.5J.A.5A.C.SG.N?","https://data.bis.org/topics/LBS/BIS,WS_LBS_D_PUB,1.0/Q.S.C.G.USD.A.5J.A.5A.C.SG.N?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/LBS

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,L_MEASURE:Measure,L_POSITION:Balance sheet position,L_INSTR:Type of instruments,L_DENOM:Currency denomination,L_CURR_TYPE:Currency type of reporting country,L_PARENT_CTY:Parent country,L_REP_BANK_TYPE:Type of reporting institutions,L_REP_CTY:Reporting country,L_CP_SECTOR:Counterparty sector,L_CP_COUNTRY:Counterparty country,L_POS_TYPE:Position type,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2016-09-30,F:Free,,A:Normal value,28465.017
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2016-12-31,F:Free,31684.19,B:Break,32236.696
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2017-03-31,F:Free,29887.589,B:Break,29843.326
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2017-06-30,F:Free,,A:Normal value,27608.067
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2017-09-30,F:Free,29038.958,B:Break,30160.715
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2017-12-31,F:Free,30224.24,B:Break,30539.869
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2018-03-31,F:Free,30501.786,B:Break,30231.859
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2018-06-30,F:Free,29747.534,B:Break,29796.534
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2018-09-30,F:Free,28333.598,B:Break,28343.21
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2018-12-31,F:Free,30485.432,B:Break,30447.466
